token,offset,surprisal,model,string_id
if,0,,openai-gpt,1_1
you,2,1.91854727268219,openai-gpt,1_1
were,5,3.216562032699585,openai-gpt,1_1
to,9,2.5040905475616455,openai-gpt,1_1
journey,11,9.803593635559082,openai-gpt,1_1
to,18,1.1926571130752563,openai-gpt,1_1
the,20,1.015518069267273,openai-gpt,1_1
north,23,4.240568161010742,openai-gpt,1_1
of,28,2.562166690826416,openai-gpt,1_1
england,30,2.5874741077423096,openai-gpt,1_1
",",37,0.9538118839263916,openai-gpt,1_1
you,38,1.1064836978912354,openai-gpt,1_1
would,41,0.6018890142440796,openai-gpt,1_1
come,46,3.5427865982055664,openai-gpt,1_1
to,50,0.7657372355461121,openai-gpt,1_1
a,52,2.1030378341674805,openai-gpt,1_1
valley,53,4.942438125610352,openai-gpt,1_1
that,59,2.574748992919922,openai-gpt,1_1
is,63,1.8279554843902588,openai-gpt,1_1
surrounded,65,4.062465667724609,openai-gpt,1_1
by,75,0.04101580008864403,openai-gpt,1_1
moors,77,7.056027412414551,openai-gpt,1_1
as,82,6.572176933288574,openai-gpt,1_1
high,84,3.940762996673584,openai-gpt,1_1
as,88,0.03844115510582924,openai-gpt,1_1
mountains,90,5.266881942749023,openai-gpt,1_1
.,99,0.3834763467311859,openai-gpt,1_1
it,0,,openai-gpt,1_2
is,2,3.158315658569336,openai-gpt,1_2
in,4,4.898534774780273,openai-gpt,1_2
this,6,3.5223937034606934,openai-gpt,1_2
valley,10,6.14001989364624,openai-gpt,1_2
where,16,3.7211623191833496,openai-gpt,1_2
you,21,3.0187082290649414,openai-gpt,1_2
would,24,4.752298355102539,openai-gpt,1_2
find,29,2.3266866207122803,openai-gpt,1_2
the,33,1.530616044998169,openai-gpt,1_2
city,36,5.726118087768555,openai-gpt,1_2
of,40,0.6689687967300415,openai-gpt,1_2
bradford,42,12.64150333404541,openai-gpt,1_2
",",50,1.4009613990783691,openai-gpt,1_2
where,51,3.0038726329803467,openai-gpt,1_2
once,56,7.715343475341797,openai-gpt,1_2
a,60,2.3835301399230957,openai-gpt,1_2
thousand,61,3.5620956420898438,openai-gpt,1_2
spinning,69,12.614990234375,openai-gpt,1_2
jenni,77,8.258440017700195,openai-gpt,1_2
es,82,0.6696344017982483,openai-gpt,1_2
that,84,6.551294326782227,openai-gpt,1_2
hummed,88,8.611123085021973,openai-gpt,1_2
and,94,1.6267551183700562,openai-gpt,1_2
clattered,97,6.520748138427734,openai-gpt,1_2
spun,106,8.567097663879395,openai-gpt,1_2
wool,110,11.716903686523438,openai-gpt,1_2
into,114,3.0217859745025635,openai-gpt,1_2
money,118,7.550649166107178,openai-gpt,1_2
for,123,3.9915411472320557,openai-gpt,1_2
the,126,1.4525436162948608,openai-gpt,1_2
long,129,6.094655513763428,openai-gpt,1_2
-,133,1.5949034690856934,openai-gpt,1_2
bearded,134,6.806152820587158,openai-gpt,1_2
mill,141,8.150493621826172,openai-gpt,1_2
owners,145,3.207664728164673,openai-gpt,1_2
.,151,0.9661222100257874,openai-gpt,1_2
that,0,,openai-gpt,1_3
all,4,6.067625045776367,openai-gpt,1_3
mill,7,13.144046783447266,openai-gpt,1_3
owners,11,8.699225425720215,openai-gpt,1_3
were,17,2.4691553115844727,openai-gpt,1_3
generally,21,7.477256774902344,openai-gpt,1_3
busy,30,6.134159564971924,openai-gpt,1_3
as,34,4.992645740509033,openai-gpt,1_3
bea,36,9.946493148803711,openai-gpt,1_3
vers,39,0.21130165457725525,openai-gpt,1_3
and,43,2.23024320602417,openai-gpt,1_3
quite,46,9.160985946655273,openai-gpt,1_3
pleased,51,5.336884498596191,openai-gpt,1_3
with,58,0.6382597088813782,openai-gpt,1_3
themselves,62,1.5140217542648315,openai-gpt,1_3
for,72,2.3320112228393555,openai-gpt,1_3
being,75,3.0109052658081055,openai-gpt,1_3
so,80,2.2690958976745605,openai-gpt,1_3
successful,82,1.5426138639450073,openai-gpt,1_3
and,92,2.708004951477051,openai-gpt,1_3
well,95,3.3736977577209473,openai-gpt,1_3
off,99,4.215301513671875,openai-gpt,1_3
was,102,8.781509399414062,openai-gpt,1_3
known,105,7.317312240600586,openai-gpt,1_3
to,110,1.028455138206482,openai-gpt,1_3
the,112,2.1990180015563965,openai-gpt,1_3
residents,115,5.599953651428223,openai-gpt,1_3
of,124,0.6253345012664795,openai-gpt,1_3
bradford,126,8.94062614440918,openai-gpt,1_3
",",134,1.6242866516113281,openai-gpt,1_3
and,135,2.7067131996154785,openai-gpt,1_3
if,138,4.9084062576293945,openai-gpt,1_3
you,140,2.543975830078125,openai-gpt,1_3
were,143,1.5081158876419067,openai-gpt,1_3
to,147,2.1226015090942383,openai-gpt,1_3
go,149,3.276674270629883,openai-gpt,1_3
into,151,3.4829864501953125,openai-gpt,1_3
the,155,0.9953438639640808,openai-gpt,1_3
city,158,4.262962341308594,openai-gpt,1_3
to,162,2.831028461456299,openai-gpt,1_3
visit,164,2.252802848815918,openai-gpt,1_3
