token,offset,surprisal,model,string_id
If,0,,gpt2,1
 you,2,3.2464418411254883,gpt2,1
 were,6,4.155483245849609,gpt2,1
 to,11,1.63426673412323,gpt2,1
 journey,14,9.875772476196289,gpt2,1
 to,22,1.6656882762908936,gpt2,1
 the,25,1.6868985891342163,gpt2,1
 North,29,4.545607566833496,gpt2,1
 of,35,4.538328170776367,gpt2,1
 England,38,1.9881964921951294,gpt2,1
",",46,1.2729425430297852,gpt2,1
 you,47,1.264449119567871,gpt2,1
 would,51,0.7200657725334167,gpt2,1
 come,57,3.953502893447876,gpt2,1
 to,62,1.5315234661102295,gpt2,1
 a,65,2.157097101211548,gpt2,1
 valley,67,6.629145622253418,gpt2,1
 that,74,3.2540037631988525,gpt2,1
 is,79,1.7937805652618408,gpt2,1
 surrounded,82,5.267956733703613,gpt2,1
 by,93,0.13557232916355133,gpt2,1
 mo,96,9.109878540039062,gpt2,1
ors,99,0.2206406444311142,gpt2,1
 as,102,6.098738193511963,gpt2,1
 high,105,4.335238933563232,gpt2,1
 as,110,0.0361405685544014,gpt2,1
 mountains,113,5.139880657196045,gpt2,1
.,123,0.7588873505592346,gpt2,1
 It,124,2.473639488220215,gpt2,1
 is,127,0.5526783466339111,gpt2,1
 in,130,4.4845428466796875,gpt2,1
 this,133,0.9777188897132874,gpt2,1
 valley,138,0.20213206112384796,gpt2,1
 where,145,3.2516841888427734,gpt2,1
 you,151,1.6264572143554688,gpt2,1
 would,155,2.2925329208374023,gpt2,1
 find,161,1.3292468786239624,gpt2,1
 the,166,1.2970653772354126,gpt2,1
 city,170,5.863056182861328,gpt2,1
 of,175,0.2267242819070816,gpt2,1
 Bradford,178,7.027740478515625,gpt2,1
",",187,1.0320466756820679,gpt2,1
 where,188,1.7435232400894165,gpt2,1
 once,194,6.452552318572998,gpt2,1
 a,199,2.2049107551574707,gpt2,1
 thousand,201,4.604724884033203,gpt2,1
 spinning,210,12.922175407409668,gpt2,1
 j,219,6.912459850311279,gpt2,1
enn,221,6.3122968673706055,gpt2,1
ies,224,0.17611071467399597,gpt2,1
 that,227,6.32352876663208,gpt2,1
 hum,232,9.677315711975098,gpt2,1
med,236,0.6563142538070679,gpt2,1
 and,239,2.5224385261535645,gpt2,1
 cl,243,4.7560648918151855,gpt2,1
attered,246,3.835675001144409,gpt2,1
 spun,253,11.063407897949219,gpt2,1
 wool,258,9.294877052307129,gpt2,1
 into,263,4.047071933746338,gpt2,1
 money,268,8.8965482711792,gpt2,1
 for,274,4.983401775360107,gpt2,1
 the,278,0.8850901126861572,gpt2,1
 long,282,7.547218322753906,gpt2,1
-,287,2.471672296524048,gpt2,1
be,288,5.965190887451172,gpt2,1
arded,290,1.234413743019104,gpt2,1
 mill,295,6.033163547515869,gpt2,1
 owners,300,4.413057804107666,gpt2,1
.,307,0.914456844329834,gpt2,1
 That,308,4.664854049682617,gpt2,1
 all,313,7.101333141326904,gpt2,1
 mill,317,11.123391151428223,gpt2,1
 owners,322,1.022369623184204,gpt2,1
 were,329,1.8032562732696533,gpt2,1
 generally,334,8.294954299926758,gpt2,1
 busy,344,7.668182373046875,gpt2,1
 as,349,5.289859771728516,gpt2,1
 be,352,6.86341667175293,gpt2,1
avers,355,1.4908150434494019,gpt2,1
 and,360,1.5982708930969238,gpt2,1
 quite,364,9.632575988769531,gpt2,1
 pleased,370,5.89601993560791,gpt2,1
 with,378,0.7417294979095459,gpt2,1
 themselves,383,3.428468704223633,gpt2,1
 for,394,3.6353492736816406,gpt2,1
 being,398,2.950119972229004,gpt2,1
 so,404,2.4574742317199707,gpt2,1
 successful,407,4.526974201202393,gpt2,1
 and,418,3.3645520210266113,gpt2,1
 well,422,4.0842366218566895,gpt2,1
 off,427,3.8225536346435547,gpt2,1
 was,431,3.1986236572265625,gpt2,1
 known,435,4.717047214508057,gpt2,1
 to,441,1.3244909048080444,gpt2,1
 the,444,1.7339833974838257,gpt2,1
 residents,448,5.975066184997559,gpt2,1
 of,458,0.601089358329773,gpt2,1
 Bradford,461,1.428329586982727,gpt2,1
",",470,1.6015610694885254,gpt2,1
 and,471,1.4389846324920654,gpt2,1
 if,475,5.285008430480957,gpt2,1
 you,478,1.9775265455245972,gpt2,1
 were,482,2.2648916244506836,gpt2,1
 to,487,1.5478845834732056,gpt2,1
 go,490,2.702085256576538,gpt2,1
 into,493,2.9442496299743652,gpt2,1
 the,498,1.0437324047088623,gpt2,1
 city,502,1.883836030960083,gpt2,1
 to,507,3.289605140686035,gpt2,1
 visit,510,2.335028648376465,gpt2,1
 the,516,1.281042218208313,gpt2,1
 state,520,7.435516357421875,gpt2,1
ly,526,1.7981411218643188,gpt2,1
 City,528,7.5562310218811035,gpt2,1
 Hall,533,0.3263712525367737,gpt2,1
",",538,1.4089007377624512,gpt2,1
 you,539,0.5810666680335999,gpt2,1
 would,543,0.6198223829269409,gpt2,1
 see,549,2.024019241333008,gpt2,1
 there,553,4.490893840789795,gpt2,1
 the,559,4.533999919891357,gpt2,1
